sensitivity_rank,parameter_id,parameter_description,unit,base_value,low_value,high_value,INMB_low_billion_IRR,INMB_high_billion_IRR,INMB_range_billion_IRR,ICER_low_billion_IRR_per_QALY,ICER_high_billion_IRR_per_QALY,any_endpoint_cost_effective,high_endpoint_type,linked_parameter_id,linked_endpoint_value
21,ich_rate_prophylaxis,Direct annual ICH rate under prophylaxis,event/patient-year,0.00033,0.000165,0.000495,-29.181736890590855,-29.25499957914518,0.0732626885543251,138.47371045799574,140.7980733086835,false,one_way,,
22,ich_acute_utility_cap,Acute ICH utility cap,utility,0.15,0.0,0.65,-29.20608715542427,-29.25554395649884,0.049456801074569706,139.22825916516686,140.83443416663755,false,one_way,,
23,ich_iu_per_kg,Model-derived FVIII course per ICH,IU/kg/event,620.0,520.0,720.0,-29.232846090747966,-29.20240162145277,0.030444469295196536,139.66299659237916,139.5362909903102,false,one_way,,
24,non_ich_major_duration_days,Acute utility duration for non-ICH major bleed,day/event,7.0,5.0,10.0,-29.22924892811926,-29.20019110074508,0.02905782737417984,139.97928814776049,139.0345653331496,false,one_way,,
25,ich_duration_days,Duration of the acute ICH phase,day/event,12.0,10.0,14.0,-29.225591951215122,-29.209653423882646,0.01593852733247757,139.85850718319412,139.34177883433424,false,one_way,,
26,ajbr_prophylaxis,Direct annualized joint bleeding rate under prophylaxis,event/patient-year,1.05,1.0,1.1,-29.21727040462791,-29.217577447329543,0.0003070427016296387,139.59721742417844,139.59938796501933,false,one_way,,
27,joint_bleeds_per_pettersson_point,Cumulative joint bleeds per one Pettersson point,joint bleed/score point,13.0,11.1,14.7,-29.217566999881935,-29.21762385610036,0.00005685621842193604,139.59780864173496,139.59964379134465,false,one_way,,
28,utility_moderate,Moderate arthropathy utility derived from Fischer ratio,utility,0.833,0.75,0.9,-29.21762385610036,-29.21762385610036,0.0,139.59964379134465,139.59964379134465,false,one_way,,
29,utility_mild,Mild arthropathy utility derived from Fischer ratio,utility,0.9163,0.85,0.952,-29.21762385610036,-29.21762385610036,0.0,139.59964379134465,139.59964379134465,false,one_way,,
30,utility_severe,Severe arthropathy utility with monotonic cap,utility,0.833,0.7,0.88,-29.21762385610036,-29.21762385610036,0.0,139.59964379134465,139.59964379134465,false,one_way,,
