Country,Total number of hemophilia A patients,0-4,5-13,14-18,19-44,45+,Age not known
Madagascar,95,9%,34%,18%,34%,5%,0%
Malawi,86,6%,45%,19%,30%,0%,0%
Malaysia,973,8%,25%,9%,43%,13%,1%
Mali,177,8%,49%,20%,19%,2%,2%
Mauritania,89,6%,45%,15%,31%,3%,0%
Mauritius,82,2%,4%,9%,45%,34%,6%
Mexico,"5,096",1%,9%,11%,52%,19%,9%
Mongolia,108,15%,22%,13%,15%,35%,0%
Morocco,810,7%,26%,14%,41%,5%,7%
Myanmar,792,12%,33%,16%,32%,4%,4%
Nepal,686,6%,20%,14%,44%,12%,4%
Netherlands,"1,527",3%,12%,6%,36%,43%,0%
New Zealand,670,1%,6%,3%,12%,12%,66%
Norway,362,4%,15%,10%,38%,33%,0%
Pakistan,"3,144",9%,30%,14%,42%,6%,0%
Palestine,292,4%,16%,8%,36%,13%,23%
Panama,290,3%,14%,9%,50%,23%,0%
Paraguay,284,6%,17%,10%,49%,14%,4%
Philippines,"1,212",1%,11%,10%,55%,11%,11%
Portugal,804,3%,10%,5%,42%,36%,4%
Qatar,73,15%,26%,30%,25%,4%,0%
Rwanda,66,6%,35%,32%,27%,0%,0%
Saudi Arabia,"1,281",22%,36%,19%,21%,2%,0%
Senegal,326,15%,35%,16%,30%,3%,0%
Serbia,490,3%,13%,6%,45%,33%,0%
Sierra Leone,19,11%,11%,32%,42%,5%,0%
Singapore,230,3%,12%,3%,39%,42%,0%
Slovakia,634,4%,9%,5%,34%,48%,0%
Slovenia,245,3%,10%,8%,29%,49%,0%
South Africa,"2,037",2%,13%,10%,43%,29%,2%
Spain,"1,862",2%,8%,6%,42%,43%,0%
Sri Lanka,"1,043",21%,8%,6%,21%,5%,40%
Sudan,"1,205",24%,34%,12%,26%,4%,0%
Suriname,21,0%,19%,19%,48%,14%,0%
Sweden,889,5%,13%,7%,42%,32%,0%
Syria,"1,128",7%,29%,17%,41%,5%,2%
Thailand,"1,815",9%,25%,15%,37%,14%,0%
The Gambia,15,13%,60%,20%,7%,0%,0%
Togo,45,7%,38%,16%,33%,7%,0%
Trinidad and Tobago,59,3%,15%,14%,34%,15%,19%
Uganda,314,10%,49%,17%,22%,3%,0%
United Kingdom,"7,833",5%,12%,8%,39%,36%,0%
"United States of
America","12,983",7%,22%,12%,38%,20%,0%
Uruguay,238,2%,18%,11%,38%,20%,0%
Uzbekistan,"1,714",13%,23%,9%,45%,9%,0%
Venezuela,"2,334",2%,9%,7%,44%,23%,15%
Vietnam,"3,648",6%,17%,11%,53%,12%,0%
Zambia,213,16%,31%,23%,15%,4%,10%
