persian_name,english_name,brand,owner,price,dosage_form,code,generic_code
الوکتا پودر برای تهیه محلول تزریقی پرنترال 500 [iU] (پودر برای تهیه محلول تزریقی فاکتور هشت طولانی اثر),"(COAGULATION FACTOR VIII, Long Acting INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 [iU] )ELOCTA INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 [iU]",Sobi,رایان دارو ایرانیان,-,"1 VIAL, GLASS in 1 BOX",3944214622812930,52933
الوکتا پودر برای تهیه محلول تزریقی پرنترال 500 [iU] (پودر برای تهیه محلول تزریقی فاکتور هشت طولانی اثر),"(COAGULATION FACTOR VIII, Long Acting INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 [iU] )ELOCTA INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 [iU]",Biogen,رایان دارو ایرانیان,-,"1 VIAL, GLASS in 1 BOX",5278753850280828,52933
الوکتا پودر لئوفیلیزه برای تهیه فرآورده تزریقی پرنترال 3000 [iU] (پودر لئوفیلیزه برای تهیه فرآورده تزریقی فاکتور هشت طولانی اثر),"(COAGULATION FACTOR VIII, Long Acting INJECTION, POWDER, LYOPHILIZED PARENTERAL 3000 [iU] )ELOCTA INJECTION, POWDER, LYOPHILIZED PARENTERAL 3000 [iU]",Sobi,اوتانا فارمد گستر,-,"1 VIAL, GLASS in 1 BOX",9913539848047880,53437
ویلیت پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 1000 [iU]/1000 [iU] 1000[iU](پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت / ون ویلبرند),"(FACTOR VIII / VON WILLEBRAND FACTOR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1000 [iU]/1000 [iU] 1000INTERNATIONAL UNITS)WILATE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1000 [iU]/1000 [iU] 1000[iU]",Octapharma,تجهیزات پزشکی و دارویی پورا طب,"8,000,000","1 VIAL, GLASS in 1 BOX",5466366443896052,22419
هیومیت پی پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 500 [iU]/1200 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت / ون ویلبرند),"(FACTOR VIII / VON WILLEBRAND FACTOR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]/1200 [iU] )HAEMATE P INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]/1200 [iU]",Csl Behring Gmbh,اوین دارو,"136,071,000",1 VIAL in 1 BOX,8795100783659384,9563
ایمیونیت پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 1000 [iU]/1000 [iU] 500[iU](پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت / ون ویلبرند),"(FACTOR VIII / VON WILLEBRAND FACTOR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1000 [iU]/1000 [iU] 500INTERNATIONAL UNITS)IMMUNATE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1000 [iU]/1000 [iU] 500[iU]","Takeda Pharmaceutical Company, Limited",کار و اندیشه,-,1 VIAL in 1 BOX,9802425459637764,50130
هیومیت پی پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 250 [iU]/600 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت / ون ویلبرند),"(FACTOR VIII / VON WILLEBRAND FACTOR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]/600 [iU] )HAEMATE P INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]/600 [iU]",Csl Behring Gmbh,اوین دارو,"200,000",1 VIAL in 1 BOX,0419506194804911,12423
ویلیت پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 500 [iU]/500 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت / ون ویلبرند),"(FACTOR VIII / VON WILLEBRAND FACTOR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]/500 [iU] )WILATE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]/500 [iU]",Octapharma,تجهیزات پزشکی و دارویی پورا طب,"7,140,000","1 VIAL, GLASS in 1 BOX",8820119565944561,51012
ایمیونیت تزریقی پرنترال 1000 [iU]/750 [iU] (تزریقی فاکتور هشت / ون ویلبرند),(FACTOR VIII / VON WILLEBRAND FACTOR INJECTION PARENTERAL 1000 [iU]/750 [iU] )IMMUNATE INJECTION PARENTERAL 1000 [iU]/750 [iU],TAKEDA (ex BAXTER),کار و اندیشه,0,1 VIAL in 1 BOX,4745521690903996,52057
کوآگیت پودر برای تهیه محلول تزریقی پرنترال 500 [iU] (پودر برای تهیه محلول تزریقی فاکتور هشت طولانی اثر),"(COAGULATION FACTOR VIII, Long Acting INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 [iU] )COAGEIGHT INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 [iU]",آریوژن فارمد,آریوژن فارمد,"29,000,000",1 VIAL in 1 BOX,9547376896999538,52933
کوآگیت پودر لئوفیلیزه برای تهیه فرآورده تزریقی پرنترال 1000 [iU] (پودر لئوفیلیزه برای تهیه فرآورده تزریقی فاکتور هشت طولانی اثر),"(COAGULATION FACTOR VIII, Long Acting INJECTION, POWDER, LYOPHILIZED PARENTERAL 1000 [iU] )COAGEIGHT INJECTION, POWDER, LYOPHILIZED PARENTERAL 1000 [iU]",آریوژن فارمد,آریوژن فارمد,"58,000,000","1 VIAL, GLASS in 1 BOX",6894624752869881,53421
الوکتا پودر برای تهیه محلول تزریقی پرنترال 500 [iU] (پودر برای تهیه محلول تزریقی فاکتور هشت طولانی اثر),"(COAGULATION FACTOR VIII, Long Acting INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 [iU] )ELOCTA INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 [iU]",Sobi,رایان دارو ایرانیان,-,"1 VIAL, GLASS in 1 BOX",7787481918445233,52933
کوآگیت پودر لئوفیلیزه برای تهیه فرآورده تزریقی پرنترال 2000 [iU] (پودر لئوفیلیزه برای تهیه فرآورده تزریقی فاکتور هشت طولانی اثر),"(COAGULATION FACTOR VIII, Long Acting INJECTION, POWDER, LYOPHILIZED PARENTERAL 2000 [iU] )COAGEIGHT INJECTION, POWDER, LYOPHILIZED PARENTERAL 2000 [iU]",آریوژن فارمد,آریوژن فارمد,"116,000,000",2000 MILLIGRAM in 1 VIAL,6114335238471841,53422
الوکتا پودر لئوفیلیزه برای تهیه فرآورده تزریقی پرنترال 2000 [iU] (پودر لئوفیلیزه برای تهیه فرآورده تزریقی فاکتور هشت طولانی اثر),"(COAGULATION FACTOR VIII, Long Acting INJECTION, POWDER, LYOPHILIZED PARENTERAL 2000 [iU] )ELOCTA INJECTION, POWDER, LYOPHILIZED PARENTERAL 2000 [iU]",Sobi,اوتانا فارمد گستر,-,"1 VIAL, GLASS in 1 BOX",4493966540272857,53422
ویلیت پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 1000 [iU]/1000 [iU] 1000[iU](پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت / ون ویلبرند),"(FACTOR VIII / VON WILLEBRAND FACTOR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1000 [iU]/1000 [iU] 1000INTERNATIONAL UNITS)WILATE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1000 [iU]/1000 [iU] 1000[iU]",Octapharma,پالایش و پژوهش خون,-,"1 VIAL, GLASS in 1 BOX",5102774143763411,22419
الوکتا پودر لئوفیلیزه برای تهیه فرآورده تزریقی پرنترال 1500 [iU] (پودر لئوفیلیزه برای تهیه فرآورده تزریقی فاکتور هشت طولانی اثر),"(COAGULATION FACTOR VIII, Long Acting INJECTION, POWDER, LYOPHILIZED PARENTERAL 1500 [iU] )ELOCTA INJECTION, POWDER, LYOPHILIZED PARENTERAL 1500 [iU]",Sobi,اوتانا فارمد گستر,-,"1 VIAL, GLASS in 1 BOX",2246996137998723,53436
نووایت پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 500 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (نوترکیب)),"(COAGULATION FACTOR VIII (RECOMBINANT) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU] )NOVOEIGHT INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",Novo Nordisk,تدبیر کیمیا اکسیر,-,"1 VIAL, GLASS in 1 BOX",4530005322639426,52879
کووالتری پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 500 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (نوترکیب)),"(COAGULATION FACTOR VIII (RECOMBINANT) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU] )KOVALTRY INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",Bayer Ag(ex Bayer Pharma Ag),شفا یاب گستر,-,1 VIAL in 1 BOX,9727297131538167,52879
اموکلات پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 500 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (مشتق از پلاسمای انسانی)),"(COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU] )EMOCLOT INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",Kedrion,بهستان پلاسما,"29,000,000",1 VIAL in 1 BOX,8683308644773839,12544
زینتا پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 250 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (نوترکیب)),"(COAGULATION FACTOR VIII (RECOMBINANT) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU] )XYNTHA INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]",Pfizer,بهستان دارو,0,1 VIAL in 1 BOX,6858010664261764,52878
برییت پی پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 500 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (مشتق از پلاسمای انسانی)),"(COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU] )BERIATE P INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",Csl Behring Gmbh,اوین دارو,"29,000,000",1 VIAL in 1 BOX,0073217792129398,12544
برییت پی پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 250 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (مشتق از پلاسمای انسانی)),"(COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU] )BERIATE P INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]",Csl Behring Gmbh,اوین دارو,"3,370,000",1 VIAL in 1 BOX,6073259517479145,13238
هماکتین پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 500 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (مشتق از پلاسمای انسانی)),"(COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU] )HAEMOCTIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",Biotest AG,درمان آرا,"29,000,000","1 VIAL, GLASS in 1 BOX",0579693345955352,12544
اکتانیت پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 250 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (مشتق از پلاسمای انسانی)),"(COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU] )OCTANATE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]",Octapharma,تجهیزات پزشکی و دارویی پورا طب,"3,370,000","1 VIAL, GLASS in 1 BOX",1392789250378169,13238
اکتانیت پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 250 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (مشتق از پلاسمای انسانی)),"(COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU] )OCTANATE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]",Octapharma,تجهیزات پزشکی و دارویی پورا طب,"3,370,000","1 VIAL, GLASS in 1 BOX",4344890583124429,13238
اکتانیت پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 500 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (مشتق از پلاسمای انسانی)),"(COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU] )OCTANATE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",Octapharma,تجهیزات پزشکی و دارویی پورا طب,"29,000,000","1 VIAL, GLASS in 1 BOX",6385680398412621,12544
هماکتین پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 1000 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (مشتق از پلاسمای انسانی)),"(COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1000 [iU] )HAEMOCTIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1000 [iU]",Biotest AG,درمان آرا,"53,346,000","1 VIAL, GLASS in 1 BOX",6583904435236228,5728
اکتانیت پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 250 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (مشتق از پلاسمای انسانی)),"(COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU] )OCTANATE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]",Octapharma,پالایش و پژوهش خون,"3,370,000","1 VIAL, GLASS in 1 BOX",9217461784638568,13238
کوژنیت پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 250 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (نوترکیب)),"(COAGULATION FACTOR VIII (RECOMBINANT) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU] )KOGENATE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]",Bayer Ag(ex Bayer Pharma Ag),شفا یاب گستر,-,1 VIAL in 1 CARTON,3811128471924874,52878
کوژنیت پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 500 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (نوترکیب)),"(COAGULATION FACTOR VIII (RECOMBINANT) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU] )KOGENATE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",Bayer Ag(ex Bayer Pharma Ag),شفا یاب گستر,-,1 VIAL in 1 CARTON,7914474817369039,52879
هماکتین پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 250 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (مشتق از پلاسمای انسانی)),"(COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU] )HAEMOCTIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]",Biotest AG,درمان آرا,-,"1 VIAL, GLASS in 1 BOX",3593509666578728,13238
گرین هشت پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 250 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (مشتق از پلاسمای انسانی)),"(COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU] )GREEN VIII INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]",Green Cross,اهران تجارت,"3,370,000",1 VIAL in 1 BOX,9321166387508984,13238
فکتان پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 500 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (مشتق از پلاسمای انسانی)),"(COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU] )FACTANE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",Lfb Biomedicaments,کوبل دارو,"29,000,000",1 VIAL in 1 BOX,8304319469102250,12544
هماکتین پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 500 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (مشتق از پلاسمای انسانی)),"(COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU] )HAEMOCTIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",Biotest AG,درمان آرا,"29,000,000","1 VIAL, GLASS in 1 BOX",5501197251335907,12544
سافاکتو آ اف پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 500 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (نوترکیب)),"(COAGULATION FACTOR VIII (RECOMBINANT) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU] )SAFACTO AF INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",سامان داروی هشتم,سامان داروی هشتم,"29,000,000",1 PACKAGE in 1 BOX,3480872089018964,52879
اکتانیت پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 250 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (مشتق از پلاسمای انسانی)),"(COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU] )OCTANATE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]",Octapharma,پالایش و پژوهش خون,"15,594,000","1 VIAL, GLASS in 1 BOX",6492068223587497,13238
نووایت پودر لئوفیلیزه برای تهیه محلول تزریقی پرنترال 500 [iU] (پودر لئوفیلیزه برای تهیه محلول تزریقی فاکتور هشت (نوترکیب)),"(COAGULATION FACTOR VIII (RECOMBINANT) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU] )NOVOEIGHT INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",Novonordisk,نوو نور دیسک پارس,"24,489,620","1 VIAL, GLASS in 1 BOX",8442429033483492,52879
